股票代號,股票名稱,股數,持股權重
2383,台光電,4843000,10.08
2330,台積電,11884000,9.82
3037,欣興,20300000,8.05
2454,聯發科,5148000,6.62
3017,奇鋐,5899000,6.12
2327,國巨*,25387000,4.96
6669,緯穎,2226000,4.9
6223,旺矽,2486000,4.88
2345,智邦,6564000,4.81
3653,健策,2395000,4.66
2308,台達電,7040000,4.27
8046,南電,9624000,4.0
3711,日月光投控,19479000,4.0
3665,貿聯-KY,4671848,3.66
2303,聯電,87518000,3.52
6274,台燿,5498000,3.01
5274,信驊,410900,2.25
6805,富世達,2264000,1.46
2449,京元電子,11275450,0.92
8210,勤誠,2477000,0.83
2368,金像電,2000000,0.71
4979,華星光,2424000,0.48
6510,精測,477000,0.46
3264,欣銓,5917000,0.43
8996,高力,1101000,0.43
3443,創意,142000,0.28
4958,臻鼎-KY,1645000,0.26
2360,致茂,294000,0.22
6187,萬潤,483000,0.21
6278,台表科,3249000,0.2
6271,同欣電,2223000,0.15
6191,精成科,3988000,0.11
3376,新日興,1741000,0.11
4966,譜瑞-KY,140000,0.03
2002,中鋼,5163000,0.03
2637,慧洋-KY,200000,0.01
8358,金居,1000,0.0
3661,世芯-KY,1000,0.0
2439,美律,1000,0.0
1590,亞德客-KY,1000,0.0
3008,大立光,1000,0.0
2382,廣達,1000,0.0
2408,南亞科,1000,0.0
6515,穎崴,1000,0.0
6488,環球晶,1000,0.0
2313,華通,1000,0.0
8150,南茂,1000,0.0
2317,鴻海,1000,0.0
5347,世界,1000,0.0
2481,強茂,5000,0.0
