股票代號,股票名稱,股數,持股權重
2330,台積電,11960000,9.75
2383,台光電,4723000,8.48
2454,聯發科,4263000,6.68
2308,台達電,6572000,5.58
2345,智邦,6231000,5.39
2327,國巨*,18313000,4.83
3017,奇鋐,5141000,4.71
6223,旺矽,2169000,4.56
3037,欣興,12466000,4.54
6669,緯穎,2344000,4.12
3711,日月光投控,17948000,4.0
2368,金像電,7769000,3.6
2303,聯電,71190000,3.59
3665,貿聯-KY,4703848,3.53
8046,南電,11398000,3.44
3653,健策,2267000,2.82
5274,信驊,422000,2.67
6274,台燿,4151000,2.27
6515,穎崴,442000,1.43
6805,富世達,1761000,1.1
6510,精測,930000,1.08
8210,勤誠,2167000,1.02
2449,京元電子,8268000,0.94
3533,嘉澤,852000,0.75
2404,漢唐,1715000,0.71
6187,萬潤,1334000,0.59
3264,欣銓,6217000,0.52
5439,高技,3528000,0.46
6147,頎邦,4631000,0.46
8150,南茂,11635000,0.43
8996,高力,1034000,0.4
3008,大立光,329000,0.4
8358,金居,1980000,0.39
4966,譜瑞-KY,1036000,0.31
6278,台表科,3734000,0.3
1590,亞德客-KY,530000,0.26
3443,創意,96000,0.16
6191,精成科,3988000,0.14
3376,新日興,1741000,0.13
6271,同欣電,686000,0.06
2002,中鋼,5163000,0.03
2313,華通,329000,0.03
1319,東陽,511000,0.02
2357,華碩,1000,0.0
3661,世芯-KY,1000,0.0
1815,富喬,107000,0.0
2439,美律,18000,0.0
2317,鴻海,1000,0.0
5347,世界,1000,0.0
2481,強茂,5000,0.0
