股票代號,股票名稱,股數,持股權重
2330,台積電,10714000,9.25
2383,台光電,4505000,8.17
2345,智邦,6131000,5.87
2454,聯發科,4363000,5.28
3665,貿聯-KY,4623848,5.1
2308,台達電,6118000,5.08
8046,南電,12657000,4.84
2368,金像電,8260000,4.69
3653,健策,2267000,4.16
3017,奇鋐,3902000,4.05
6223,旺矽,1921000,3.68
3037,欣興,10386000,3.6
5274,信驊,473000,3.23
6669,緯穎,1769000,3.23
2327,國巨*,17220000,2.3
3711,日月光投控,11059000,2.21
2449,京元電子,12918000,1.75
6515,穎崴,397000,1.53
6274,台燿,3257000,1.52
2303,聯電,46374000,1.48
6805,富世達,1741000,1.33
6510,精測,930000,1.31
2317,鴻海,13977000,1.28
3189,景碩,5359000,1.08
8358,金居,5558000,0.92
3443,創意,488000,0.9
3264,欣銓,6994000,0.63
6187,萬潤,1223000,0.63
8210,勤誠,1117000,0.54
6147,頎邦,7984000,0.54
5439,高技,3178000,0.49
3661,世芯-KY,296000,0.47
8996,高力,934000,0.43
2404,漢唐,1092000,0.41
1590,亞德客-KY,510000,0.28
2313,華通,2623000,0.28
2337,旺宏,2956000,0.18
6191,精成科,3987000,0.15
2481,強茂,3653000,0.14
3376,新日興,1711000,0.13
6415,矽力*-KY,660000,0.11
4966,譜瑞-KY,376000,0.08
3217,優群,844000,0.06
2002,中鋼,5162000,0.04
1319,東陽,510000,0.01
8150,南茂,368000,0.01
2357,華碩,17000,0.0
1815,富喬,107000,0.0
2439,美律,17000,0.0
4979,華星光,1000,0.0
5347,世界,63000,0.0
