股票代號,股票名稱,股數,持股權重
2330,台積電,11657000,9.24
2383,台光電,4723000,8.72
2454,聯發科,4263000,6.35
2345,智邦,6231000,5.7
2308,台達電,6572000,5.39
3017,奇鋐,5141000,4.89
6223,旺矽,2169000,4.73
3037,欣興,12076000,4.57
6669,緯穎,2344000,4.32
2327,國巨*,18313000,4.23
2368,金像電,7669000,3.87
3665,貿聯-KY,4703848,3.72
8046,南電,11398000,3.67
3711,日月光投控,15640000,3.34
2303,聯電,66190000,3.02
3653,健策,2267000,2.9
5274,信驊,422000,2.54
6274,台燿,4151000,2.29
2449,京元電子,12919000,1.53
6515,穎崴,442000,1.37
6510,精測,930000,1.11
6805,富世達,1761000,1.1
8210,勤誠,2167000,1.09
2404,漢唐,1715000,0.76
3533,嘉澤,772000,0.71
3264,欣銓,6217000,0.5
6187,萬潤,1224000,0.49
5439,高技,3528000,0.48
8996,高力,1034000,0.45
3008,大立光,329000,0.42
8358,金居,1980000,0.37
8150,南茂,11334000,0.34
6278,台表科,3734000,0.32
6147,頎邦,3201000,0.29
4966,譜瑞-KY,1036000,0.29
1590,亞德客-KY,530000,0.27
6415,矽力*-KY,1038000,0.23
3443,創意,96000,0.18
2313,華通,1649000,0.16
6191,精成科,3988000,0.13
3376,新日興,1741000,0.13
2481,強茂,2056000,0.11
6271,同欣電,686000,0.06
2002,中鋼,5163000,0.04
1319,東陽,511000,0.01
2357,華碩,1000,0.0
3661,世芯-KY,1000,0.0
1815,富喬,107000,0.0
2439,美律,18000,0.0
2317,鴻海,1000,0.0
5347,世界,1000,0.0
