股票代號,股票名稱,股數,持股權重
2330,台積電,10039000,8.99
2383,台光電,4425000,8.28
2345,智邦,6031000,5.95
3665,貿聯-KY,4583848,5.3
2308,台達電,6024000,5.26
2454,聯發科,4363000,4.93
8046,南電,12637000,4.9
3653,健策,2267000,4.73
2368,金像電,8240000,4.67
3017,奇鋐,3902000,4.43
6223,旺矽,1886000,3.83
3037,欣興,10226000,3.67
6669,緯穎,1754000,3.35
5274,信驊,458000,3.16
2327,國巨*,16954000,2.29
3711,日月光投控,10859000,2.24
6805,富世達,2099000,1.83
2449,京元電子,12719000,1.66
6515,穎崴,391000,1.65
6510,精測,930000,1.38
6274,台燿,3019000,1.32
2303,聯電,40054000,1.28
3661,世芯-KY,738000,1.23
3189,景碩,5358000,1.12
2317,鴻海,10727000,0.96
8358,金居,5558000,0.88
6187,萬潤,1222000,0.64
6147,頎邦,7884000,0.56
8210,勤誠,1117000,0.51
3443,創意,271000,0.5
5439,高技,3130000,0.48
8996,高力,914000,0.45
2404,漢唐,1091000,0.42
3264,欣銓,4897000,0.41
1590,亞德客-KY,500000,0.29
2313,華通,2543000,0.27
2337,旺宏,2910000,0.18
6191,精成科,3986000,0.15
3376,新日興,1681000,0.14
2481,強茂,3652000,0.14
6415,矽力*-KY,660000,0.11
4966,譜瑞-KY,371000,0.08
3217,優群,830000,0.06
2002,中鋼,5161000,0.04
1319,東陽,509000,0.02
2357,華碩,16000,0.0
1815,富喬,107000,0.0
2439,美律,16000,0.0
4979,華星光,1000,0.0
5347,世界,62000,0.0
