股票代號,股票名稱,股數,持股權重
2330,台積電,11657000,10.28
2383,台光電,4723000,8.38
2345,智邦,6231000,5.92
2454,聯發科,4263000,5.56
2308,台達電,6572000,5.08
6223,旺矽,2169000,4.97
3017,奇鋐,4925000,4.65
6669,緯穎,2294000,4.55
8046,南電,12658000,4.23
2327,國巨*,18313000,3.84
3665,貿聯-KY,4703848,3.73
3037,欣興,10822000,3.59
2368,金像電,7018000,3.5
2303,聯電,66190000,2.89
3711,日月光投控,14998000,2.88
3653,健策,2267000,2.77
5274,信驊,422000,2.65
6274,台燿,4151000,2.02
6515,穎崴,442000,1.62
2449,京元電子,12919000,1.45
6510,精測,930000,1.27
6805,富世達,1761000,1.22
8210,勤誠,1967000,1.02
3533,嘉澤,624000,0.59
2404,漢唐,1394000,0.58
6187,萬潤,1224000,0.54
3264,欣銓,6217000,0.52
5439,高技,3528000,0.52
2357,華碩,1622000,0.42
3008,大立光,329000,0.42
2313,華通,4124000,0.42
8996,高力,1034000,0.41
8358,金居,1980000,0.37
8150,南茂,11334000,0.34
4966,譜瑞-KY,1036000,0.32
6278,台表科,3734000,0.31
1590,亞德客-KY,530000,0.3
6147,頎邦,3201000,0.28
6415,矽力*-KY,1038000,0.21
3443,創意,96000,0.18
6191,精成科,3988000,0.15
3036,文曄,1200000,0.14
3376,新日興,1741000,0.14
2481,強茂,2056000,0.11
3217,優群,874000,0.07
2002,中鋼,5163000,0.04
1319,東陽,511000,0.02
3661,世芯-KY,1000,0.0
1815,富喬,107000,0.0
2439,美律,18000,0.0
2317,鴻海,1000,0.0
5347,世界,1000,0.0
